"Index","Food","Per_gram","Per_item","Classification"
"1","noodles and alfredo sauce",-2,2,"National"
"2","cheese curls",-1,-28,"National"
"3","green beans",-4.5,-6,"National"
"4","mixed fruits",4,8,"National"
"5","cereal",5,6,"National"
"6","fig bars",-12,-1,"National"
"7","oatmeal raisin cookie",1,10,"National"
"8","crumb cake",9,13,"National"
"9","crackers",10,15,"National"
"10","blue cheese dressing",-6,-4,"National"
"11","imperial chicken",-6,-4,"National"
"12","vegetable soup",-17,-18,"National"
"13","cheese",7,10,"National"
"14","chocolate pudding",4,5,"National"
"15","sausage biscuit",-4,3,"National"
"16","lasagna",-11,-7,"National"
"17","spread cheese",14,3,"National"
"18","lentil soup",-1,-0.5,"National"
"19","pasta with shrimp and tomato sauce",-10.5,-10,"National"
"20","chocolate mousse",2,6,"National"
"21","meatless sandwich",42,41,"Regional"
"22","oatmeal cookie",38,46,"Regional"
"23","lemon pound cake",-16,2,"Regional"
"24","banana cake",5,25,"Regional"
"25","brownie",11,39,"Regional"
"26","butterscotch bar",7,16.5,"Regional"
"27","blondie",12,17,"Regional"
"28","oat bran snack bar",21,28,"Regional"
"29","granola bar",-13,-3,"Regional"
"30","apricot bar",13,14,"Regional"
"31","chocolate chip cookie",16,34,"Regional"
"32","carrot muffin",40,42,"Regional"
"33","chinese chicken",NA,15,"Local"
"34","gyoza",NA,60,"Local"
"35","jelly diet candy-reds flavor",NA,250,"Local"
"36","jelly diet candy-fruit flavor",NA,145,"Local"
"37","Florentine manicotti",NA,6,"Local"
"38","egg foo young",NA,80,"Local"
"39","hummus with salad",NA,95,"Local"
"40","baba ghanoush with salad",NA,3,"Local"
