"Category","Total","Women","Source","Proportion","Firm"
"Tech",5,0,"SV150",0,"Tech1"
"Tech",5,0,"SV150",0,"Tech2"
"Tech",5,0,"SV150",0,"Tech3"
"Tech",5,0,"SV150",0,"Tech4"
"Tech",5,1,"SV150",0.2,"Tech5"
"Tech",5,1,"SV150",0.2,"Tech6"
"Tech",6,0,"SV150",0,"Tech7"
"Tech",6,0,"SV150",0,"Tech8"
"Tech",6,0,"SV150",0,"Tech9"
"Tech",6,0,"SV150",0,"Tech10"
"Tech",6,0,"SV150",0,"Tech11"
"Tech",6,0,"SV150",0,"Tech12"
"Tech",6,0,"SV150",0,"Tech13"
"Tech",6,0,"SV150",0,"Tech14"
"Tech",6,0,"SV150",0,"Tech15"
"Tech",6,0,"SV150",0,"Tech16"
"Tech",6,0,"SV150",0,"Tech17"
"Tech",6,0,"SV150",0,"Tech18"
"Tech",6,0,"SV150",0,"Tech19"
"Tech",6,1,"SV150",0.166666666666667,"Tech20"
"Tech",6,1,"SV150",0.166666666666667,"Tech21"
"Tech",6,1,"SV150",0.166666666666667,"Tech22"
"Tech",6,2,"SV150",0.333333333333333,"Tech23"
"Tech",7,0,"SV150",0,"Tech24"
"Tech",7,0,"SV150",0,"Tech25"
"Tech",7,0,"SV150",0,"Tech26"
"Tech",7,0,"SV150",0,"Tech27"
"Tech",7,0,"SV150",0,"Tech28"
"Tech",7,0,"SV150",0,"Tech29"
"Tech",7,0,"SV150",0,"Tech30"
"Tech",7,0,"SV150",0,"Tech31"
"Tech",7,0,"SV150",0,"Tech32"
"Tech",7,0,"SV150",0,"Tech33"
"Tech",7,0,"SV150",0,"Tech34"
"Tech",7,0,"SV150",0,"Tech35"
"Tech",7,0,"SV150",0,"Tech36"
"Tech",7,0,"SV150",0,"Tech37"
"Tech",7,0,"SV150",0,"Tech38"
"Tech",7,0,"SV150",0,"Tech39"
"Tech",7,0,"SV150",0,"Tech40"
"Tech",7,0,"SV150",0,"Tech41"
"Tech",7,0,"SV150",0,"Tech42"
"Tech",7,0,"SV150",0,"Tech43"
"Tech",7,0,"SV150",0,"Tech44"
"Tech",7,0,"SV150",0,"Tech45"
"Tech",7,1,"SV150",0.142857142857143,"Tech46"
"Tech",7,1,"SV150",0.142857142857143,"Tech47"
"Tech",7,1,"SV150",0.142857142857143,"Tech48"
"Tech",7,1,"SV150",0.142857142857143,"Tech49"
"Tech",7,1,"SV150",0.142857142857143,"Tech50"
"Tech",7,1,"SV150",0.142857142857143,"Tech51"
"Tech",7,1,"SV150",0.142857142857143,"Tech52"
"Tech",7,1,"SV150",0.142857142857143,"Tech53"
"Tech",7,1,"SV150",0.142857142857143,"Tech54"
"Tech",7,1,"SV150",0.142857142857143,"Tech55"
"Tech",7,1,"SV150",0.142857142857143,"Tech56"
"Tech",7,1,"SV150",0.142857142857143,"Tech57"
"Tech",7,1,"SV150",0.142857142857143,"Tech58"
"Tech",7,2,"SV150",0.285714285714286,"Tech59"
"Tech",7,2,"SV150",0.285714285714286,"Tech60"
"Tech",7,2,"SV150",0.285714285714286,"Tech61"
"Tech",7,2,"SV150",0.285714285714286,"Tech62"
"Tech",8,0,"SV150",0,"Tech63"
"Tech",8,0,"SV150",0,"Tech64"
"Tech",8,0,"SV150",0,"Tech65"
"Tech",8,0,"SV150",0,"Tech66"
"Tech",8,0,"SV150",0,"Tech67"
"Tech",8,0,"SV150",0,"Tech68"
"Tech",8,0,"SV150",0,"Tech69"
"Tech",8,0,"SV150",0,"Tech70"
"Tech",8,0,"SV150",0,"Tech71"
"Tech",8,0,"SV150",0,"Tech72"
"Tech",8,0,"SV150",0,"Tech73"
"Tech",8,0,"SV150",0,"Tech74"
"Tech",8,0,"SV150",0,"Tech75"
"Tech",8,0,"SV150",0,"Tech76"
"Tech",8,1,"SV150",0.125,"Tech77"
"Tech",8,1,"SV150",0.125,"Tech78"
"Tech",8,1,"SV150",0.125,"Tech79"
"Tech",8,1,"SV150",0.125,"Tech80"
"Tech",8,1,"SV150",0.125,"Tech81"
"Tech",8,1,"SV150",0.125,"Tech82"
"Tech",8,1,"SV150",0.125,"Tech83"
"Tech",8,1,"SV150",0.125,"Tech84"
"Tech",8,1,"SV150",0.125,"Tech85"
"Tech",8,1,"SV150",0.125,"Tech86"
"Tech",8,1,"SV150",0.125,"Tech87"
"Tech",8,1,"SV150",0.125,"Tech88"
"Tech",8,1,"SV150",0.125,"Tech89"
"Tech",8,2,"SV150",0.25,"Tech90"
"Tech",8,2,"SV150",0.25,"Tech91"
"Tech",8,2,"SV150",0.25,"Tech92"
"Tech",8,2,"SV150",0.25,"Tech93"
"Tech",8,2,"SV150",0.25,"Tech94"
"Tech",9,0,"SV150",0,"Tech95"
"Tech",9,0,"SV150",0,"Tech96"
"Tech",9,0,"SV150",0,"Tech97"
"Tech",9,0,"SV150",0,"Tech98"
"Tech",9,0,"SV150",0,"Tech99"
"Tech",9,0,"SV150",0,"Tech100"
"Tech",9,0,"SV150",0,"Tech101"
"Tech",9,0,"SV150",0,"Tech102"
"Tech",9,0,"SV150",0,"Tech103"
"Tech",9,0,"SV150",0,"Tech104"
"Tech",9,0,"SV150",0,"Tech105"
"Tech",9,0,"SV150",0,"Tech106"
"Tech",9,1,"SV150",0.111111111111111,"Tech107"
"Tech",9,1,"SV150",0.111111111111111,"Tech108"
"Tech",9,1,"SV150",0.111111111111111,"Tech109"
"Tech",9,1,"SV150",0.111111111111111,"Tech110"
"Tech",9,1,"SV150",0.111111111111111,"Tech111"
"Tech",9,1,"SV150",0.111111111111111,"Tech112"
"Tech",9,1,"SV150",0.111111111111111,"Tech113"
"Tech",9,1,"SV150",0.111111111111111,"Tech114"
"Tech",9,1,"SV150",0.111111111111111,"Tech115"
"Tech",9,1,"SV150",0.111111111111111,"Tech116"
"Tech",9,1,"SV150",0.111111111111111,"Tech117"
"Tech",9,1,"SV150",0.111111111111111,"Tech118"
"Tech",9,1,"SV150",0.111111111111111,"Tech119"
"Tech",9,1,"SV150",0.111111111111111,"Tech120"
"Tech",9,1,"SV150",0.111111111111111,"Tech121"
"Tech",9,1,"SV150",0.111111111111111,"Tech122"
"Tech",9,1,"SV150",0.111111111111111,"Tech123"
"Tech",9,1,"SV150",0.111111111111111,"Tech124"
"Tech",9,1,"SV150",0.111111111111111,"Tech125"
"Tech",9,1,"SV150",0.111111111111111,"Tech126"
"Tech",9,2,"SV150",0.222222222222222,"Tech127"
"Tech",9,2,"SV150",0.222222222222222,"Tech128"
"Tech",9,3,"SV150",0.333333333333333,"Tech129"
"Tech",10,0,"SV150",0,"Tech130"
"Tech",10,1,"SV150",0.1,"Tech131"
"Tech",10,1,"SV150",0.1,"Tech132"
"Tech",10,1,"SV150",0.1,"Tech133"
"Tech",10,1,"SV150",0.1,"Tech134"
"Tech",10,1,"SV150",0.1,"Tech135"
"Tech",10,2,"SV150",0.2,"Tech136"
"Tech",10,2,"SV150",0.2,"Tech137"
"Tech",10,2,"SV150",0.2,"Tech138"
"Tech",10,3,"SV150",0.3,"Tech139"
"Tech",11,1,"SV150",0.0909090909090909,"Tech140"
"Tech",11,1,"SV150",0.0909090909090909,"Tech141"
"Tech",11,1,"SV150",0.0909090909090909,"Tech142"
"Tech",11,1,"SV150",0.0909090909090909,"Tech143"
"Tech",11,2,"SV150",0.181818181818182,"Tech144"
"Tech",11,3,"SV150",0.272727272727273,"Tech145"
